result,rollno
"R1631052,UNIX AND SHELL PROGRAMMING,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,F,0,R1631121,HUMAN COMPUTER INTERACTION,D,3,R1631122,ADVANCED JAVA PROGRAMMING,D,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,B,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1230
"R1631052,UNIX AND SHELL PROGRAMMING,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,F,0,R1631121,HUMAN COMPUTER INTERACTION,D,3,R1631122,ADVANCED JAVA PROGRAMMING,D,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,F,0,R1631124,UNIX AND OPERATING SYSTEMS LAB,B,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1231
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1232
"R1631052,UNIX AND SHELL PROGRAMMING,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,S,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1233
,17H71A1234
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,S,3,R1631122,ADVANCED JAVA PROGRAMMING,A,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1235
,17H71A1236
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1237
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1238
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,A,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1239
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,S,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1240
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1241
,17H71A1242
"R1631052,UNIX AND SHELL PROGRAMMING,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,O,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,O,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1243
