result,rollno
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,C,3,R1631052,UNIX PROGRAMMING,A,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,D,3,R1631055,OPERATING SYSTEMS,A,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A0531
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,D,3,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,D,3,R1631055,OPERATING SYSTEMS,F,0,R1631056,UNIFIED MODELING LAB,S,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,A,2",17H71A0532
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,B,3,R1631052,UNIX PROGRAMMING,S,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,S,3,R1631055,OPERATING SYSTEMS,B,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0533
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,B,3,R1631052,UNIX PROGRAMMING,B,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0534
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,C,3,R1631052,UNIX PROGRAMMING,B,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,D,3,R1631055,OPERATING SYSTEMS,A,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,A,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A0535
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,B,3,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0536
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,B,3,R1631052,UNIX PROGRAMMING,B,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,B,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,A,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0537
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,F,0,R1631052,UNIX PROGRAMMING,D,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,F,0,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,D,3,R1631056,UNIFIED MODELING LAB,A,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,A,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,A,2",17H71A0538
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,B,3,R1631052,UNIX PROGRAMMING,S,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,S,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0539
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,A,3,R1631052,UNIX PROGRAMMING,A,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0540
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,B,3,R1631052,UNIX PROGRAMMING,B,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0541
,17H71A0542
